,tamanho,ano,garagem,predicted
388,137.0,1999,2,192452.4
389,217.0,2007,3,408191.7
390,127.0,1900,1,109290.98
391,182.0,2001,2,223219.28
392,82.0,1959,1,119073.08
393,73.0,1941,0,89774.57
394,96.0,1940,1,114601.56
395,106.0,1956,1,132955.06
396,83.0,1972,2,124529.086
397,168.0,1962,1,170503.12
398,100.0,1920,1,101943.67
399,144.0,2006,2,214793.84
400,120.0,1996,2,192692.2
401,122.0,2005,2,173580.5
402,62.0,1940,1,100325.72
403,210.0,1998,2,270115.8
404,146.0,1995,2,203203.58
405,151.0,1976,2,178023.06
406,152.0,1936,1,153871.52
407,156.0,1915,1,138069.89
408,202.0,2006,3,316117.03
409,193.0,2007,3,354656.53
410,119.0,1958,1,126308.36
411,98.0,1955,2,143619.23
412,137.0,2009,2,221500.56
413,96.0,1927,2,114753.9
414,195.0,1993,3,228967.73
415,124.0,2007,2,218430.77
416,130.0,1978,2,156376.34
417,244.0,1918,3,241640.89
418,105.0,1940,1,118357.8
419,98.0,1968,1,133672.73
420,125.0,1997,4,216560.44
421,149.0,1977,2,178023.06
422,92.0,1954,2,122206.586
423,244.0,1998,3,348709.1
424,111.0,1956,1,132955.06
425,129.0,1946,1,116923.125
426,153.0,1989,2,195554.38
427,84.0,1957,1,114473.74
428,112.0,2007,2,186511.52
429,131.0,1988,2,171462.78
430,92.0,1971,1,104684.586
431,111.0,1920,0,95789.58
432,127.0,1971,2,158578.47
433,149.0,1997,2,208505.31
434,59.0,1972,0,81123.49
435,154.0,1996,2,204960.88
436,104.0,1920,2,119185.21
437,84.0,1926,1,104019.82
438,64.0,1913,1,89472.09
439,111.0,1920,2,119185.21
440,223.0,2008,3,525641.44
441,134.0,1955,0,123130.1
442,146.0,1930,2,164618.17
443,117.0,2006,3,177853.69
444,177.0,1994,2,221650.69
445,157.0,1956,2,169969.78
446,175.0,1966,2,197059.48
447,175.0,1998,2,210264.12
448,128.0,1937,1,123237.97
449,110.0,1948,1,117022.484
450,76.0,1930,1,103556.766
451,142.0,1975,2,176297.86
452,163.0,1996,2,225756.08
453,148.0,2008,2,273525.53
454,161.0,1976,2,164008.48
455,115.0,1973,2,148435.23
456,125.0,1916,3,113851.42
457,154.0,1954,2,185846.69
458,155.0,1925,1,156563.75
459,112.0,1950,1,124871.64
460,180.0,2009,2,253247.7
461,105.0,1936,2,125371.85
462,80.0,1965,1,120531.44
463,154.0,1934,1,174731.4
464,97.0,1978,0,126149.26
465,131.0,2004,2,182416.28
466,119.0,1970,2,147051.61
467,153.0,1942,1,150089.5
468,152.0,2006,3,249704.75
469,159.0,1993,2,199659.14
470,140.0,1985,2,185561.75
471,183.0,1977,2,179603.17
472,100.0,2005,2,150513.98
473,184.0,2006,3,372471.62
474,153.0,2000,2,243022.12
475,90.0,1963,2,130420.57
476,139.0,1997,2,197177.89
477,246.0,2006,3,340671.72
478,160.0,2007,3,325931.94
479,105.0,1937,2,125371.85
480,172.0,2004,3,295863.3
481,166.0,2003,3,292113.16
482,170.0,1915,1,132837.17
483,113.0,1998,2,163301.64
484,93.0,1962,1,126004.81
485,103.0,1950,1,124871.64
486,100.0,1965,2,147443.5
487,138.0,1971,2,169825.48
488,224.0,1900,2,145375.22
489,59.0,1970,1,88869.555
490,121.0,1976,1,124703.055
491,147.0,1941,1,153871.52
492,135.0,2006,2,201958.23
493,118.0,1960,1,137554.4
494,82.0,1938,1,106310.58
495,67.0,1920,0,52730.305
496,300.0,1992,2,392474.72
497,169.0,1925,1,168265.52
498,84.0,1967,1,118429.82
499,85.0,1958,1,114473.74
500,113.0,1973,1,116440.516
501,164.0,2005,2,238331.97
502,113.0,1965,2,151380.98
503,167.0,1959,2,194259.45
504,123.0,1974,2,150013.5
505,182.0,1952,2,145396.14
506,178.0,1993,2,228119.9
507,113.0,2009,2,190632.03
508,128.0,1928,2,145614.72
509,97.0,1959,1,133616.92
510,127.0,1951,1,138274.52
511,127.0,2005,2,192780.69
512,80.0,1958,2,127633.32
513,100.0,1983,2,160175.86
514,73.0,1926,1,93732.41
515,188.0,2009,3,396194.9
516,197.0,1972,2,199727.33
517,218.0,1996,3,288742.3
518,167.0,1998,2,214369.52
519,193.0,1926,1,207576.69
520,120.0,1900,0,96837.734
521,116.0,1957,1,132955.06
522,155.0,1947,2,152294.1
523,434.0,2007,3,185146.36
524,223.0,1996,3,308204.3
525,118.0,2005,2,178278.14
526,86.0,1956,1,113975.664
527,252.0,2008,3,515727.7
528,56.0,1920,0,51039.297
529,234.0,1957,2,194891.3
530,140.0,1988,2,185561.75
531,127.0,1920,2,116221.5
532,77.0,1955,1,108871.12
533,31.0,1946,0,56889.46
534,131.0,2004,2,182416.28
535,125.0,1910,0,113245.44
536,160.0,1998,2,214369.52
537,80.0,1972,2,124529.086
538,108.0,1968,1,137610.22
539,149.0,2001,2,223392.44
540,171.0,2006,3,317052.38
541,212.0,2000,3,290271.25
542,156.0,1998,2,214369.52
543,71.0,1998,1,129737.64
544,139.0,2006,2,212525.45
545,203.0,1988,3,232083.8
546,152.0,1923,2,179922.92
547,71.0,1970,2,122350.4
548,77.0,1955,2,108932.1
549,195.0,2003,2,258026.05
550,99.0,1977,2,149599.81
551,86.0,1957,1,113975.664
552,160.0,2006,3,305272.94
553,105.0,1949,2,124036.54
554,190.0,2003,3,295034.44
555,97.0,1922,1,104231.05
556,101.0,1957,1,129017.56
557,124.0,1920,1,114180.42
558,134.0,1996,2,191604.14
559,145.0,2003,2,197136.66
560,129.0,1957,2,159330.95
561,129.0,1974,2,155345.84
562,93.0,1940,0,90189.73
563,156.0,1918,2,159461.0
564,213.0,1992,2,267279.38
565,153.0,1915,1,140002.48
566,233.0,2005,3,317124.03
567,143.0,2004,2,197132.66
568,198.0,1983,2,284548.2
569,88.0,1979,2,135395.5
570,161.0,1965,2,164008.48
571,80.0,1959,1,119073.08
572,157.0,2009,2,262524.62
573,133.0,2000,2,191604.14
574,103.0,1971,1,116440.516
575,113.0,1947,1,117022.484
576,137.0,1928,1,138335.81
577,123.0,1966,2,154739.6
578,129.0,2007,2,209917.44
579,167.0,1954,1,170980.9
580,133.0,1960,2,164500.19
581,190.0,2008,3,382052.28
582,76.0,1990,0,126761.01
583,258.0,1893,2,249146.02
584,146.0,1935,1,153871.52
585,188.0,2005,3,305249.38
586,78.0,1918,1,107715.305
587,80.0,1982,2,135491.81
588,137.0,1968,1,140416.77
589,87.0,1930,1,114601.56
590,147.0,2004,2,197136.66
591,213.0,2008,3,477167.56
592,76.0,1982,2,133759.03
593,79.0,2003,2,140837.78
594,86.0,1975,1,118788.25
595,170.0,2005,3,314502.03
596,127.0,1910,1,115840.19
597,130.0,2006,3,238023.39
598,153.0,1977,2,178126.3
599,145.0,1980,2,175941.33
600,177.0,2005,2,246576.84
601,128.0,1937,1,123237.97
602,178.0,1992,2,228119.9
603,111.0,2004,2,159122.0
604,139.0,2002,2,197963.44
605,185.0,1965,2,198920.64
606,97.0,1996,2,151150.3
607,187.0,1948,1,167123.69
608,297.0,1934,2,346200.4
609,96.0,1961,1,126004.81
610,200.0,2000,3,291029.47
611,96.0,1978,2,150630.31
612,174.0,2001,2,225984.06
613,104.0,2007,0,142887.06
614,59.0,1972,0,81123.49
615,98.0,1963,2,147443.5
616,140.0,2002,2,197963.44
617,77.0,1954,2,108932.1
618,170.0,2007,3,368202.94
619,210.0,2003,3,338382.56
620,80.0,1914,0,64387.477
621,243.0,1974,2,199753.61
622,91.0,1977,2,142154.83
623,140.0,2000,2,197177.89
624,166.0,1972,2,190271.05
625,104.0,1962,2,151380.98
626,132.0,1960,1,152273.22
627,141.0,1955,1,146701.11
628,193.0,1969,2,208823.33
629,125.0,1964,2,158578.47
630,163.0,1880,1,125628.375
631,144.0,2006,2,214793.84
632,131.0,1977,2,155345.84
633,98.0,1954,1,129017.56
634,98.0,1980,2,142840.48
635,315.0,1914,0,205082.45
636,74.0,1936,0,89774.57
637,129.0,1954,1,132855.7
638,74.0,1910,0,77383.1
639,146.0,2006,3,236512.98
640,141.0,2003,2,212277.12
641,179.0,2001,2,223219.28
642,251.0,1972,2,327212.28
643,151.0,1969,2,176276.17
644,164.0,2009,3,346130.03
645,91.0,1971,2,127474.83
646,97.0,1950,2,115709.34
647,102.0,1953,2,142208.2
648,171.0,1966,2,212045.89
649,59.0,1970,0,75298.945
650,155.0,2007,2,253541.38
651,140.0,1940,1,149016.98
652,159.0,1996,2,204960.88
653,136.0,1906,1,111382.6
654,196.0,1995,3,298035.9
655,101.0,1971,1,112503.04
656,98.0,1959,1,133616.92
657,140.0,1931,1,149016.98
658,135.0,1948,1,115909.48
659,138.0,1964,2,159616.45
660,180.0,1976,2,189662.6
661,227.0,1994,3,287920.2
662,129.0,1968,2,153598.95
663,110.0,1972,2,148435.23
664,195.0,2005,3,300885.53
665,180.0,2000,2,216733.34
666,221.0,1965,2,167315.16
667,156.0,1994,2,199659.14
668,134.0,1956,2,164500.19
669,110.0,1922,1,108168.52
670,137.0,2005,2,205249.62
671,127.0,1925,1,113103.33
672,112.0,1977,2,153537.3
673,171.0,1957,2,207568.86
674,106.0,1965,1,137610.22
675,134.0,1978,2,169159.48
676,165.0,1900,3,107691.06
677,74.0,1924,1,105812.81
678,190.0,2008,3,382052.28
679,92.0,1961,2,130420.57
680,86.0,1980,1,121606.86
681,141.0,1932,1,149016.98
682,120.0,1996,2,192692.2
683,155.0,2002,3,269656.03
684,171.0,1998,2,225250.53
685,194.0,1984,2,224030.5
686,164.0,2007,2,240882.31
687,102.0,2004,2,152134.52
688,132.0,2007,2,278997.56
689,127.0,2005,2,192780.69
690,79.0,2004,2,145480.4
691,401.0,1994,3,621553.25
692,234.0,1989,2,307848.25
693,100.0,1921,1,104231.05
694,143.0,1936,2,159280.25
695,106.0,1987,2,153843.11
696,57.0,1921,1,87439.03
697,107.0,1952,1,133394.36
698,83.0,1965,1,120531.44
699,129.0,2004,2,190676.52
700,167.0,2002,3,262447.66
701,108.0,1969,2,151380.98
702,239.0,2006,3,362304.78
703,168.0,1900,2,129162.28
704,138.0,2004,2,190138.78
705,101.0,1930,0,79864.89
706,169.0,1971,2,212045.89
707,123.0,2006,2,180140.25
708,135.0,2007,2,221048.56
709,84.0,1966,1,118429.82
710,68.0,1935,0,65226.996
711,109.0,1900,1,91674.25
712,114.0,1988,2,169654.23
713,89.0,1970,2,127474.83
714,137.0,1976,2,171572.38
715,125.0,1974,2,160325.36
716,237.0,1890,2,153996.2
717,109.0,1973,2,148435.23
718,225.0,1993,3,279056.97
719,90.0,1969,1,118630.82
720,162.0,1985,2,204515.2
721,79.0,2004,2,145480.4
722,80.0,1970,2,121202.24
723,137.0,1954,1,146701.11
724,158.0,2007,3,311177.16
725,80.0,1970,2,121202.24
726,156.0,1988,2,204515.2
727,114.0,2007,2,186511.52
728,165.0,1958,3,136487.61
729,112.0,1925,2,123081.09
730,150.0,1995,2,203203.58
731,106.0,2003,2,157673.55
732,189.0,1998,2,230377.06
733,106.0,1961,1,137610.22
734,88.0,1968,1,118630.82
735,164.0,1914,2,154932.0
736,97.0,1950,2,115709.34
737,167.0,2005,3,262447.66
738,111.0,1987,0,168133.16
739,161.0,2004,2,203000.86
740,133.0,1910,2,137493.56
741,85.0,1961,1,126899.5
742,125.0,2000,2,178326.84
743,136.0,1963,2,159616.45
744,124.0,1993,2,173566.95
745,252.0,1976,2,302868.72
746,210.0,2000,2,270115.8
747,245.0,1880,4,264197.75
748,160.0,1996,2,225756.08
749,142.0,1945,1,149016.98
750,106.0,1910,0,86783.81
751,123.0,2003,2,173580.5
752,139.0,1997,2,197177.89
753,195.0,2005,3,300885.53
754,95.0,1969,2,147443.5
755,137.0,1999,2,192452.4
756,164.0,2007,2,240882.31
757,129.0,1978,2,156376.34
758,139.0,1999,2,197177.89
759,235.0,1995,3,287920.2
760,80.0,1959,1,119073.08
761,121.0,1924,2,116434.41
762,144.0,2009,2,221151.61
763,220.0,1999,3,311282.8
764,139.0,1995,2,185561.75
765,140.0,2008,2,214920.19
766,159.0,1988,2,204515.2
767,163.0,1940,1,162624.42
768,171.0,2004,2,217813.86
769,305.0,2003,3,528296.2
770,80.0,1982,2,135491.81
771,113.0,1951,2,142208.2
772,104.0,1976,2,153537.3
773,85.0,1958,1,114473.74
774,183.0,2006,3,268993.5
775,112.0,1998,2,163301.64
776,150.0,2005,3,233962.64
777,83.0,1974,2,126275.98
778,188.0,1977,2,198920.64
779,93.0,1977,2,149599.81
780,116.0,1995,2,179427.67
781,149.0,1992,2,203203.58
782,133.0,2001,2,206491.27
783,103.0,1978,2,154567.8
784,138.0,1914,0,115378.27
785,125.0,1967,2,158578.47
786,153.0,1915,1,140002.48
787,194.0,2004,2,237106.8
788,84.0,1954,1,114473.74
789,194.0,1966,2,208823.33
790,106.0,2005,2,157673.55
791,99.0,1976,2,149599.81
792,187.0,1996,2,251238.83
793,139.0,2007,2,209915.95
794,176.0,1994,2,221650.69
795,145.0,1980,2,175941.33
796,119.0,1977,2,164959.12
797,72.0,1953,1,115362.12
798,292.0,2008,3,504288.3
799,164.0,1937,1,162624.42
800,157.0,1997,2,214369.52
801,111.0,1916,2,119185.21
802,135.0,2005,2,192065.06
803,262.0,2008,3,556396.5
804,105.0,1954,1,132955.06
805,133.0,2008,2,238389.1
806,91.0,1967,1,118630.82
807,146.0,1923,2,179922.92
808,101.0,1966,2,147443.5
809,199.0,1898,2,151908.39
810,122.0,1974,2,150013.5
811,79.0,2004,2,145480.4
812,97.0,1952,2,133881.0
813,134.0,1958,1,147673.88
814,116.0,1918,1,117144.13
815,154.0,1998,2,214369.52
816,94.0,1954,1,121349.65
817,157.0,2002,3,295331.62
818,98.0,1971,2,144497.75
819,126.0,2009,2,227398.03
820,152.0,2003,2,188384.58
821,87.0,1953,2,116858.06
822,161.0,2003,2,203000.86
823,138.0,1940,1,140626.56
824,138.0,2006,2,215142.8
825,194.0,2007,3,364435.3
826,73.0,1924,0,93517.13
827,133.0,2001,2,206491.27
828,198.0,1967,2,218568.47
829,114.0,2005,2,172904.73
830,129.0,1957,2,159330.95
831,111.0,2005,2,159122.0
832,170.0,2003,2,217813.86
833,141.0,1964,2,164341.94
834,106.0,1961,2,151380.98
835,99.0,1950,2,120099.06
836,145.0,1948,2,154123.45
837,92.0,1973,1,104684.586
838,102.0,1995,1,130472.66
839,111.0,1946,1,117022.484
840,138.0,1925,1,138335.81
841,143.0,1904,2,144805.92
842,108.0,1966,2,151380.98
843,167.0,1961,0,147175.67
844,132.0,1915,3,134426.11
845,158.0,1975,2,174446.81
846,165.0,1993,2,220454.34
847,80.0,1972,1,110756.17
848,219.0,1908,2,211455.53
849,172.0,1976,2,197059.48
850,79.0,2003,2,140837.78
851,135.0,2003,2,176954.22
852,153.0,1941,1,160787.1
853,134.0,1964,2,158768.19
854,165.0,1955,2,173739.7
855,97.0,1962,1,133672.73
856,95.0,1978,2,150630.31
857,138.0,1994,2,180836.27
858,127.0,1976,2,160325.36
859,247.0,1968,2,315879.47
860,132.0,1918,1,140385.67
861,97.0,1965,2,147443.5
862,102.0,1984,2,153467.47
863,107.0,1959,1,137554.4
864,127.0,2007,2,218430.77
865,93.0,1970,2,144497.75
866,153.0,2006,3,250673.4
867,104.0,1961,2,151380.98
868,216.0,1948,2,199214.25
869,181.0,1993,2,228119.9
870,83.0,1962,1,120531.44
871,156.0,1998,2,214369.52
